nr,name,status,return_type,param_count,param1,param2,param3,param4,param5,param6
0,read,ok,TLINT,3,TUINT,TWSCHAR,TLUINT,,,
1,write,ok,TLINT,3,TUINT,TSCHAR,TLUINT,,,
2,open,ok,TLINT,3,TSTR,TINT,TUSHRT,,,
3,close,ok,TLINT,1,TUINT,,,,,
4,stat,ok,TLINT,2,TSTR,TPTR,,,,
5,fstat,ok,TLINT,2,TUINT,TPTR,,,,
6,lstat,ok,TLINT,2,TSTR,TPTR,,,,
7,poll,ok,TLINT,3,TPTR,TUINT,TINT,,,
8,lseek,ok,TLINT,3,TUINT,TLINT,TUINT,,,
9,mmap,ok,TLINT,6,TLUINT,TLUINT,TLUINT,TLUINT,TLUINT,TLUINT
10,mprotect,ok,TLINT,3,TLUINT,TLUINT,TLUINT,,,
11,munmap,ok,TLINT,2,TLUINT,TLUINT,,,,
12,brk,ok,TLINT,1,TLUINT,,,,,
13,rt_sigaction,ok,TLINT,4,TINT,TPTR,TPTR,TLUINT,,
14,rt_sigprocmask,ok,TLINT,4,TINT,TPTR,TPTR,TLUINT,,
15,rt_sigreturn,ok,TLINT,0,,,,,,
16,ioctl,ok,TLINT,3,TUINT,TUINT,TLUINT,,,
17,pread64,ok,TLINT,4,TUINT,TWSCHAR,TLUINT,TLINT,,
18,pwrite64,ok,TLINT,4,TUINT,TSCHAR,TLUINT,TLINT,,
19,readv,ok,TLINT,3,TLUINT,TPTR,TLUINT,,,
20,writev,ok,TLINT,3,TLUINT,TPTR,TLUINT,,,
21,access,ok,TLINT,2,TSTR,TINT,,,,
22,pipe,ok,TLINT,1,TPTR,,,,,
23,select,ok,TLINT,5,TINT,TPTR,TPTR,TPTR,TPTR,
24,sched_yield,ok,TLINT,0,,,,,,
25,mremap,ok,TLINT,5,TLUINT,TLUINT,TLUINT,TLUINT,TLUINT,
26,msync,ok,TLINT,3,TLUINT,TLUINT,TINT,,,
27,mincore,ok,TLINT,3,TLUINT,TLUINT,TPTR,,,
28,madvise,ok,TLINT,3,TLUINT,TLUINT,TINT,,,
29,shmget,ok,TLINT,3,TINT,TLUINT,TINT,,,
30,shmat,ok,TLINT,3,TINT,TPTR,TINT,,,
31,shmctl,ok,TLINT,3,TINT,TINT,TPTR,,,
32,dup,ok,TLINT,1,TUINT,,,,,
33,dup2,ok,TLINT,2,TUINT,TUINT,,,,
34,pause,ok,TLINT,0,,,,,,
35,nanosleep,ok,TLINT,2,TPTR,TPTR,,,,
36,getitimer,ok,TLINT,2,TINT,TPTR,,,,
37,alarm,ok,TLINT,1,TUINT,,,,,
38,setitimer,ok,TLINT,3,TINT,TPTR,TPTR,,,
39,getpid,ok,TLINT,0,,,,,,
40,sendfile,ok,TLINT,4,TINT,TINT,TPTR,TLUINT,,
41,socket,ok,TLINT,3,TINT,TINT,TINT,,,
42,connect,ok,TLINT,3,TINT,TPTR,TINT,,,
43,accept,ok,TLINT,3,TINT,TPTR,TPTR,,,
44,sendto,ok,TLINT,6,TINT,TPTR,TLUINT,TUINT,TPTR,TINT
45,recvfrom,ok,TLINT,6,TINT,TPTR,TLUINT,TUINT,TPTR,TPTR
46,sendmsg,ok,TLINT,3,TINT,TPTR,TUINT,,,
47,recvmsg,ok,TLINT,3,TINT,TPTR,TUINT,,,
48,shutdown,ok,TLINT,2,TINT,TINT,,,,
49,bind,ok,TLINT,3,TINT,TPTR,TINT,,,
50,listen,ok,TLINT,2,TINT,TINT,,,,
51,getsockname,ok,TLINT,3,TINT,TPTR,TPTR,,,
52,getpeername,ok,TLINT,3,TINT,TPTR,TPTR,,,
53,socketpair,ok,TLINT,4,TINT,TINT,TINT,TPTR,,
54,setsockopt,ok,TLINT,5,TINT,TINT,TINT,TSCHAR,TINT,
55,getsockopt,ok,TLINT,5,TINT,TINT,TINT,TPTR,TPTR,
