nr,name,status,return_type,param_count,param1,param2,param3,param4,param5,param6
0,restart_syscall,ok,TLINT,0,,,,,,
1,exit,ok,TLINT,1,TINT,,,,,
2,fork,ok,TLINT,0,,,,,,
3,read,ok,TLINT,3,TUINT,TWSCHAR,TLUINT,,,
4,write,ok,TLINT,3,TUINT,TSCHAR,TLUINT,,,
5,open,ok,TLINT,3,TSTR,TINT,TUSHRT,,,
6,close,ok,TLINT,1,TUINT,,,,,
7,waitpid,ok,TLINT,3,TINT,TPTR,TINT,,,
8,creat,ok,TLINT,2,TSTR,TUSHRT,,,,
9,link,ok,TLINT,2,TSTR,TSTR,,,,
10,unlink,ok,TLINT,1,TSTR,,,,,
11,execve,ok,TLINT,3,TSTR,TASTR,TASTR,,,
12,chdir,ok,TLINT,1,TSTR,,,,,
13,time,ok,TLINT,1,TPTR,,,,,
14,mknod,ok,TLINT,3,TSTR,TUSHRT,TUINT,,,
15,chmod,ok,TLINT,2,TSTR,TUSHRT,,,,
16,lchown,ok,TLINT,3,TSTR,TINT,TINT,,,
17,break,todo,,,,,,,,
18,oldstat,ok,TLINT,2,TSTR,TPTR,,,,
19,lseek,ok,TLINT,3,TUINT,TLINT,TUINT,,,
20,getpid,ok,TLINT,0,,,,,,
21,mount,ok,TLINT,5,TSTR,TSTR,TSTR,TLUINT,TPTR,
22,umount,ok,TLINT,2,TSTR,TINT,,,,
23,setuid,ok,TLINT,1,TINT,,,,,
24,getuid,ok,TLINT,0,,,,,,
25,stime,ok,TLINT,1,TPTR,,,,,
26,ptrace,ok,TLINT,4,TLINT,TLINT,TLUINT,TLUINT,,
27,alarm,ok,TLINT,1,TUINT,,,,,
28,oldfstat,ok,TLINT,2,TUINT,TPTR,,,,
29,pause,ok,TLINT,0,,,,,,
30,utime,ok,TLINT,2,TPTR,TPTR,,,,
31,stty,todo,,,,,,,,
32,gtty,todo,,,,,,,,
33,access,ok,TLINT,2,TSTR,TINT,,,,
34,nice,ok,TLINT,1,TINT,,,,,
35,ftime,todo,,,,,,,,
36,sync,ok,TLINT,0,,,,,,
37,kill,ok,TLINT,2,TINT,TINT,,,,
38,rename,ok,TLINT,2,TSTR,TSTR,,,,
39,mkdir,ok,TLINT,2,TSTR,TUSHRT,,,,
40,rmdir,ok,TLINT,1,TSTR,,,,,
41,dup,ok,TLINT,1,TUINT,,,,,
42,pipe,ok,TLINT,1,TPTR,,,,,
43,times,ok,TLINT,1,TPTR,,,,,
44,prof,todo,,,,,,,,
45,brk,ok,TLINT,1,TLUINT,,,,,
46,setgid,ok,TLINT,1,TINT,,,,,
47,getgid,ok,TLINT,0,,,,,,
48,signal,ok,TLINT,2,TINT,TPTR,,,,
49,geteuid,ok,TLINT,0,,,,,,
50,getegid,ok,TLINT,0,,,,,,
51,acct,ok,TLINT,1,TSTR,,,,,
52,umount2,ok,TLINT,2,TSTR,TINT,,,,
53,lock,todo,,,,,,,,
54,ioctl,ok,TLINT,3,TUINT,TUINT,TLUINT,,,
55,fcntl,ok,TLINT,3,TUINT,TUINT,TLUINT,,,
56,mpx,todo,,,,,,,,
57,setpgid,ok,TLINT,2,TINT,TINT,,,,
58,ulimit,todo,,,,,,,,
59,oldolduname,ok,TLINT,1,TPTR,,,,,
60,umask,ok,TLINT,1,TINT,,,,,
61,chroot,ok,TLINT,1,TSTR,,,,,
62,ustat,ok,TLINT,2,TUINT,TPTR,,,,
63,dup2,ok,TLINT,2,TUINT,TUINT,,,,
64,getppid,ok,TLINT,0,,,,,,
65,getpgrp,ok,TLINT,0,,,,,,
66,setsid,ok,TLINT,0,,,,,,
67,sigaction,ok,TLINT,3,TINT,TPTR,TPTR,,,
68,sgetmask,ok,TLINT,0,,,,,,
69,ssetmask,ok,TLINT,1,TINT,,,,,
70,setreuid,ok,TLINT,2,TINT,TINT,,,,
71,setregid,ok,TLINT,2,TINT,TINT,,,,
72,sigsuspend,ok,TLINT,3,TINT,TINT,TLUINT,,,
73,sigpending,ok,TLINT,1,TPTR,,,,,
74,sethostname,ok,TLINT,2,TSCHAR,TINT,,,,
75,setrlimit,ok,TLINT,2,TUINT,TPTR,,,,
76,getrlimit,ok,TLINT,2,TUINT,TPTR,,,,
77,getrusage,ok,TLINT,2,TINT,TPTR,,,,
